combination,K,silhouette_score
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,2,0.21797384321689606
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,3,0.17764043807983398
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,4,0.18268895149230957
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,5,0.1892145425081253
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,6,0.18693067133426666
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,7,0.19266223907470703
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,8,0.1896868646144867
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,9,0.19315287470817566
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,10,0.19901441037654877
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,11,0.18504860997200012
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,12,0.20514772832393646
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,13,0.20175567269325256
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,14,0.19106414914131165
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,15,0.18763166666030884
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,16,0.1940138339996338
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,17,0.19576576352119446
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,18,0.2028123438358307
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,19,0.1995576173067093
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,20,0.20936931669712067
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,21,0.22157253324985504
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,22,0.21449169516563416
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,23,0.21932874619960785
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,24,0.21720601618289948
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,25,0.2198529839515686
