combination,K,silhouette_score
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,2,0.3394905626773834
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,3,0.26909172534942627
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,4,0.2113589495420456
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,5,0.20314520597457886
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,6,0.21641255915164948
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,7,0.14906705915927887
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,8,0.21741069853305817
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,9,0.16103677451610565
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,10,0.19151221215724945
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,11,0.16531360149383545
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,12,0.15207606554031372
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,13,0.15520334243774414
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,14,0.1489189863204956
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,15,0.15917743742465973
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,16,0.15432311594486237
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,17,0.15685290098190308
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,18,0.14947256445884705
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,19,0.15841549634933472
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,20,0.15189413726329803
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,21,0.15971499681472778
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,22,0.15672241151332855
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,23,0.15379925072193146
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,24,0.1590692102909088
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,25,0.15861383080482483
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,26,0.15184015035629272
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,27,0.16008885204792023
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,28,0.1509981006383896
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,29,0.16757339239120483
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,30,0.1682594120502472
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,2,0.3829060196876526
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,3,0.298397958278656
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,4,0.21529743075370789
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,5,0.22905664145946503
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,6,0.21068035066127777
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,7,0.19912806153297424
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,8,0.1862640678882599
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,9,0.1920352727174759
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,10,0.1613534837961197
