combination,K,silhouette_score
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,2,0.21455684304237366
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,3,0.1679609715938568
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,4,0.15464313328266144
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,5,0.16523443162441254
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,6,0.17887240648269653
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,7,0.16495460271835327
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,8,0.1601061075925827
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,9,0.17299066483974457
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,10,0.1519428938627243
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,11,0.15326836705207825
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,12,0.14760474860668182
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,13,0.16017384827136993
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,14,0.17377179861068726
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,15,0.16064098477363586
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,16,0.16032283008098602
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,17,0.16693830490112305
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,18,0.1600932478904724
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,19,0.17363443970680237
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,20,0.1778232753276825
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,21,0.18249651789665222
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,22,0.19577556848526
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,23,0.1798267513513565
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,24,0.17208944261074066
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,25,0.19578051567077637
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,26,0.19245819747447968
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,27,0.18524765968322754
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,28,0.1929769366979599
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,29,0.19717147946357727
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Christiana Healthcare,30,0.21386273205280304
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,2,0.23648537695407867
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,3,0.18309511244297028
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,4,0.10578829795122147
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,5,0.11639685928821564
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,6,0.11580095440149307
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,7,0.12583139538764954
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,8,0.13695281744003296
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,9,0.14122793078422546
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,10,0.12340952455997467
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,11,0.15333771705627441
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,12,0.12974612414836884
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,13,0.14137917757034302
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,14,0.152834951877594
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,15,0.15230309963226318
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,16,0.1622661054134369
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,17,0.16948683559894562
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,18,0.1723303198814392
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,19,0.16626916825771332
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,20,0.16491937637329102
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,21,0.163222536444664
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,22,0.16946101188659668
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,23,0.17217805981636047
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,24,0.17840169370174408
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,25,0.1713111698627472
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,26,0.1879269927740097
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,27,0.18986938893795013
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,28,0.19514892995357513
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,29,0.1950879693031311
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-Roswell Park,30,0.20744504034519196
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,2,0.1982344537973404
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,3,0.15407441556453705
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,4,0.13057094812393188
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,5,0.1326436847448349
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,6,0.135802760720253
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,7,0.1361009031534195
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,8,0.12401555478572845
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,9,0.12826818227767944
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,10,0.1361793726682663
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,11,0.1354275494813919
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,12,0.142581045627594
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,13,0.1442643404006958
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,14,0.1480736881494522
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,15,0.1507883071899414
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,16,0.15086707472801208
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,17,0.17311649024486542
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,18,0.16709497570991516
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,19,0.1564413607120514
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,20,0.1726594716310501
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,21,0.16326969861984253
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,22,0.1810886412858963
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,23,0.17788836359977722
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,24,0.17533770203590393
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,25,0.1938762664794922
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,26,0.19354097545146942
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,27,0.19780758023262024
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,28,0.19208715856075287
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,29,0.19720977544784546
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,30,0.1955883502960205
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,2,0.20738592743873596
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,3,0.16904452443122864
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,4,0.15143264830112457
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,5,0.1589527577161789
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,6,0.17043906450271606
