combination,K,silhouette_score
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,2,0.29077640175819397
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,3,0.24067743122577667
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,4,0.1643320769071579
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,5,0.1821940541267395
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,6,0.17969445884227753
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,7,0.17798547446727753
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,8,0.12890486419200897
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,9,0.11931952834129333
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,10,0.14291349053382874
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,11,0.14036044478416443
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,12,0.13299378752708435
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,13,0.14437665045261383
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,14,0.1332767754793167
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,15,0.12842661142349243
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,16,0.13250944018363953
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,17,0.12816619873046875
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,18,0.13338829576969147
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,19,0.13186956942081451
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,20,0.13037456572055817
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,21,0.1334066540002823
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,22,0.13485941290855408
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,23,0.13338416814804077
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,24,0.12596085667610168
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,25,0.1348128467798233
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,26,0.13456930220127106
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,27,0.1275012046098709
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,28,0.13081249594688416
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,29,0.1268940269947052
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET2_WNS,30,0.13678351044654846
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,2,0.3280298411846161
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,3,0.2345055788755417
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,4,0.17981106042861938
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,5,0.18456974625587463
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,6,0.17304247617721558
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,7,0.1645670235157013
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,8,0.15931226313114166
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,9,0.13006055355072021
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,10,0.15038256347179413
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,11,0.14224696159362793
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,12,0.14159752428531647
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,13,0.13775479793548584
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,14,0.13712014257907867
ADVENT-MUSC_PROP-VALSET1_UKK-VALSET4_CHA_FULL,15,0.13310860097408295
